Item,Description,Unit Price(₹/$),Quantity,Total,URL,Screenshot
Seeed Studio Xiao ESP32S3 Sense,Micro- controller,"₹ 1,449.99/$16",1,"₹ 1,449.99/$16",https://thinkrobotics.com/products/esp32s3-sense?variant=49842744951101&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=cpc&utm_campaign=allassests&utm_source=SR_google&utm_medium=pmax&utm_campaign=PMax_AllAssets_SR467-21768723055&utm_content=-&gad_source=4&gad_campaignid=21768725272&gclid=CjwKCAiAl-_JBhBjEiwAn3rN7abk6lYRvJzb82IQNWQvmHycCabe8G3Hknnfl2I3i7ac4aWbGcVncxoCf78QAvD_BwE,
N20 12V 300RPM Micro Metal Gear Motor With Encoder ,Motors,₹ 503.00/5.55,2,₹1006/$11.1,https://robu.in/product/n20-12v-300rpm-micro-metal-gear-motor-with-encoder/,
DRV8833 2 Channel DC Motor Driver,Motor Driver,₹65/0.72,1,₹65/0.72,https://robocraze.com/products/drv8833-2-channel-dc-motor-driver?variant=46651197784288&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=google&utm_medium=cpc&utm_campaign=BL+%7C+Pmax+%7C+Feed+Only+%7C+All+Products+%7C+Top+5+Cities+%7C22%2F06&utm_source=googleads&utm_medium=ppc&utm_campaign=21400046529&utm_content=_&utm_term=&campaignid=21400046529&adgroupid=&campaign=21400046529&gad_source=4&gad_campaignid=21406494659&gclid=CjwKCAiAl-_JBhBjEiwAn3rN7Y617fKzJ4kQZtkxmv1UQOMj5PhwtfQwRZyMaMiuNHujLWnglzoUyxoCpOsQAvD_BwE,
43mm Rubber Wheel Tyre for N20 Gear Motor,Wheels,₹35/$0.39,2,₹70/$78,https://robocraze.com/products/43mm-rubber-wheel-tyre-for-n20-gear-motor?_pos=2&_psq=n20&_ss=e&_v=1.0,
GoldenMorning 1.32 inch OLED Display Module 128×64 SSD1327,Oled Display,₹638/$7.04,1,₹638/$7.04,https://robu.in/product/goldenmorning-1-32-inch-oled-display-module-128x64-ssd1327/,
MAX98357 I2S 3W CLASS D Audio Amplifier Module,Amplifier Module,₹299/$3.30,1,₹299/$3.30,https://www.flyrobo.in/max98357-i2s-3w-class-d-audio-amplifier-module?tracking=ads&srsltid=AfmBOoodOqutv5E1d0XcqB5baBebnW2ubabQqPiDGxE-n4X6v5GBSZVpBDY,
GSPK2805TN-8R0.5W-INGHAI-8ohm 0.5W Speakers ROHS,Speaker,₹76/$0.84,1,₹76/$0.84,https://robu.in/product/gspk2805tn-8r0-5w-inghai-8ohm-0-5w-speakers-rohs/#tab-description,
WLY902025 3.7V 400mAh 1S LiPo Battery – Micro Rechargeable Battery Pack for Wearables / Micro Drone / IoT,3.7V 400 mAh Battery,₹260/$2.87,1,₹260/$2.87,https://robu.in/product/400mah-pcm-protected-micro-li-po-battery-2/,
"TP4056 Adjustable 1A Li-ion lithium Battery Charging Module with Overcurrent Protection – Type C Port or 5V DC Point for Input power, Output : 4.5-5.5V, Full charge voltage: 4.2V",Charging Module,₹12/$0.13,1,₹12/$0.13,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/,
MT3608 2A Max DC-DC Step Up Power Module Booster Power Module,Voltage Booster Module,₹33/0.36,1,₹33/0.36,https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/,
16-Channel 12-bit PWM/Servo Driver I2C interface PCA9685,16-Channel Servo Driver,₹219/$2.42,1,₹219/$2.42,https://robu.in/product/16-channel-12-bit-pwmservo-driver-i2c-interface-pca9685-arduino-raspberry-pi/,
MPU-6050 3-Axis Accelerometer and Gyro Sensor,IMU,₹165/$1.82,1,₹165/$1.82,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/,
3D-Print- Main Chasis,3D-Print,₹122/$1.35,1,₹122/1.35,https://robu.in/product/3d-printing-service/?utm_source=website&utm_medium=header&utm_campaign=3d-printing-service&utm_id=free_promotion,
3D-Print- PCB Base Plate,3D-Print,₹36/$0.4,1,₹36/$0.4,https://robu.in/product/3d-printing-service/?utm_source=website&utm_medium=header&utm_campaign=3d-printing-service&utm_id=free_promotion,
PCB,PCB Printing,₹899/$9.93,5,₹899/$9.93,https://robu.in/product/online-pcb-manufacturing-service/,
Male To Male Jumper Wires 40 Pcs 10cm,Male to male Jumper wires,₹42/$0.46,1 set,₹42/$0.46,https://robu.in/product/male-to-male-jumper-wires-40-pcs-10cm/,
Male To Female Jumper Wires 40 Pcs 10cm,Male to Female Jumper wires,₹35/$0.39,1 set,₹35/$0.39,https://robu.in/product/male-to-female-jumper-wires-40-pcs-10cm/,
,,Total = ₹4608/$54.36,,Total = ₹5111/$59.91,,
